Comment,Designator,Footprint,LCSC
LMBR4020H3T5G,"D1,D2,D3,D4",rp2350-decoder:U-DFN1608-2_L1.6-W0.8-RD,C2852608
MAX98357AEWL+T,U5,rp2350-decoder:WLP-9_L1.4-W1.3-P0.40-R3-C3-BR,C2682619
100nF,"C1,C3,C5,C11,C13,C16,C20",rp2350-decoder:C_0201_0603Metric,C49062
1K,"R2,R4,R5,R15,R17,R19",rp2350-decoder:R_0201_0603Metric,C270365
6.8K,"R1,R6,R7,R8,R12,R13,R16,R18",rp2350-decoder:R_0201_0603Metric,C423451
AP63203WU,U2,rp2350-decoder:TSOT-26_L2.9-W1.6-P0.95-LS2.8-BL,C780769
AP1606,"Q2,Q9",rp2350-decoder:Diodes_DFN1006-3,C2849580
GDZ3V3LP3-7,"D8,D10",rp2350-decoder:D_0201_0603Metric,C5157733
NST847BPDP6T5G,"Q3,Q4",rp2350-decoder:SOT-963,C896443
BOOT,SW1,rp2350-decoder:SW-SMD_4P-L2.6-W1.6-P0.75-LS3.0,C913778
22R,"R9,R10,R11",rp2350-decoder:R_0201_0603Metric,C270355
2.2K,R3,rp2350-decoder:R_0201_0603Metric,C473534
DMN2991UDA-7B,"Q5,Q6,Q7,Q8",rp2350-decoder:X2-DFN0806-6_L0.8-W0.6_X2-DFN0806-6,C2937136
3.3uH,L2,rp2350-decoder:IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,C42411119
4.7uF,"C9,C10,C14,C18,C19",rp2350-decoder:C_0201_0603Metric,C335103
RB161QS-40,"D5,D6",rp2350-decoder:DIO-SMD_L1.0-W0.6-P0.65-RD,C5563750
MD9927,U6,rp2350-decoder:WDFN-8_L2.0-W2.0-P0.50-BL-EP,C2684662
47uF,C17,rp2350-decoder:C_1206_3216Metric,C22367835
10pF,"C4,C6",rp2350-decoder:C_0201_0603Metric,C384956
5052702412,J3,rp2350-decoder:CONN-SMD_5052702412,C724151
W25Q128JVPIQ,U3,rp2350-decoder:WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,C190862
4.7uH,L1,rp2350-decoder:IND-SMD_L2.5-W2.0-VLS252012CX-150M,C5832360
ABM8-272-T3,Y1,rp2350-decoder:Crystal_SMD_3225-4Pin_3.2x2.5mm,C20625731
NCS2220AMUT1G,U1,rp2350-decoder:DFN-8_L1.6-W1.6-P0.40-BL-EP,C464059
2.2uF,"C2,C15",rp2350-decoder:C_0402_1005Metric,C159814
100uF,C8,rp2350-decoder:C_1206_3216Metric,C15008
33R,R14,rp2350-decoder:R_0201_0603Metric,C423356
Blue LED,D7,rp2350-decoder:LED_0402_1005Metric,C130724
RP2350A,U4,rp2350-decoder:QFN-60_L7.0-W7.0-P0.40-TL-EP3.4,C42411118
22uF,C7,rp2350-decoder:C_0603_1608Metric,C86295
