Designator,Mid X,Mid Y,Layer,Rotation
C1,41.83,-47.56,B,270.00
C1,41.83,-36.76,B,270.00
C1,41.83,-15.16,B,270.00
C1,41.83,-25.96,B,270.00
C2,41.02,-22.23,B,90.00
C2,41.02,-33.03,B,90.00
C2,41.02,-54.63,B,90.00
C2,41.02,-43.83,B,90.00
C3,35.11,-15.16,B,90.00
C3,35.11,-36.76,B,90.00
C3,35.11,-47.56,B,90.00
C3,35.11,-25.96,B,90.00
C4,43.89,-39.87,B,0.00
C4,43.89,-18.27,B,0.00
C4,43.89,-29.07,B,0.00
C4,43.89,-50.67,B,0.00
C5,41.01,-20.64,B,270.00
C5,41.01,-42.24,B,270.00
C5,41.01,-53.04,B,270.00
C5,41.01,-31.44,B,270.00
C6,41.01,-30.07,B,90.00
C6,41.01,-51.67,B,90.00
C6,41.01,-19.27,B,90.00
C6,41.01,-40.87,B,90.00
C7,43.25,-48.53,T,0.00
C7,43.25,-37.73,T,0.00
C7,43.25,-16.13,T,0.00
C7,43.25,-26.93,T,0.00
C8,29.96,-52.56,T,270.00
C8,29.96,-20.16,T,270.00
C8,29.96,-30.96,T,270.00
C8,29.96,-41.76,T,270.00
C9,32.46,-49.05,T,90.00
C9,32.46,-27.45,T,90.00
C9,32.46,-16.65,T,90.00
C9,32.46,-38.25,T,90.00
C10,33.16,-38.25,T,270.00
C10,33.16,-16.65,T,270.00
C10,33.16,-27.45,T,270.00
C10,33.16,-49.05,T,270.00
C11,41.01,-17.90,B,90.00
C11,41.01,-28.70,B,90.00
C11,41.01,-39.50,B,90.00
C11,41.01,-50.30,B,90.00
C12,37.65,-25.96,B,90.00
C12,37.65,-15.16,B,90.00
C12,37.65,-47.56,B,90.00
C12,37.65,-36.76,B,90.00
C13,34.78,-43.67,B,90.00
C13,34.78,-54.47,B,90.00
C13,34.78,-22.07,B,90.00
C13,34.78,-32.87,B,90.00
C14,32.46,-15.16,T,270.00
C14,32.46,-36.76,T,270.00
C14,32.46,-25.96,T,270.00
C14,32.46,-47.56,T,270.00
C15,39.65,-54.65,B,0.00
C15,39.65,-33.05,B,0.00
C15,39.65,-43.85,B,0.00
C15,39.65,-22.25,B,0.00
C16,38.39,-22.23,B,270.00
C16,38.39,-43.83,B,270.00
C16,38.39,-54.63,B,270.00
C16,38.39,-33.03,B,270.00
C17,32.34,-41.76,T,90.00
C17,32.34,-52.56,T,90.00
C17,32.34,-30.96,T,90.00
C17,32.34,-20.16,T,90.00
C18,28.76,-15.16,T,90.00
C18,28.76,-25.96,T,90.00
C18,28.76,-47.56,T,90.00
C18,28.76,-36.76,T,90.00
C19,29.46,-15.16,T,90.00
C19,29.46,-47.56,T,90.00
C19,29.46,-36.76,T,90.00
C19,29.46,-25.96,T,90.00
C20,32.66,-26.32,B,0.00
C20,32.66,-47.92,B,0.00
C20,32.66,-37.12,B,0.00
C20,32.66,-15.52,B,0.00
C21,34.41,-47.56,B,90.00
C21,34.41,-25.96,B,90.00
C21,34.41,-15.16,B,90.00
C21,34.41,-36.76,B,90.00
D1,27.31,-47.42,T,0.00
D1,27.31,-36.62,T,0.00
D1,27.31,-25.82,T,0.00
D1,27.31,-15.02,T,0.00
D2,27.31,-22.59,T,0.00
D2,27.31,-33.39,T,0.00
D2,27.31,-44.19,T,0.00
D2,27.31,-54.99,T,0.00
D3,25.66,-26.37,T,90.00
D3,25.66,-15.57,T,90.00
D3,25.66,-47.97,T,90.00
D3,25.66,-37.17,T,90.00
D4,25.66,-43.63,T,270.00
D4,25.66,-32.83,T,270.00
D4,25.66,-22.03,T,270.00
D4,25.66,-54.43,T,270.00
D5,31.85,-41.77,B,180.00
D5,31.85,-30.97,B,180.00
D5,31.85,-52.57,B,180.00
D5,31.85,-20.17,B,180.00
D6,30.45,-41.77,B,0.00
D6,30.45,-30.97,B,0.00
D6,30.45,-52.57,B,0.00
D6,30.45,-20.17,B,0.00
D7,43.61,-36.53,T,180.00
D7,43.61,-25.73,T,180.00
D7,43.61,-14.93,T,180.00
D7,43.61,-47.33,T,180.00
J3,26.75,-18.85,B,270.00
J3,26.75,-40.45,B,270.00
J3,26.75,-51.25,B,270.00
J3,26.75,-29.65,B,270.00
L1,43.27,-50.51,T,180.00
L1,43.27,-39.71,T,180.00
L1,43.27,-18.11,T,180.00
L1,43.27,-28.91,T,180.00
L2,31.06,-48.51,T,270.00
L2,31.06,-26.91,T,270.00
L2,31.06,-16.11,T,270.00
L2,31.06,-37.71,T,270.00
Q1,39.82,-36.90,B,270.00
Q1,39.82,-47.70,B,270.00
Q1,39.82,-15.30,B,270.00
Q1,39.82,-26.10,B,270.00
Q2,29.15,-19.90,B,270.00
Q2,29.15,-30.70,B,270.00
Q2,29.15,-52.30,B,270.00
Q2,29.15,-41.50,B,270.00
Q3,29.09,-28.18,B,0.00
Q3,29.09,-49.78,B,0.00
Q3,29.09,-17.38,B,0.00
Q3,29.09,-38.98,B,0.00
Q4,29.07,-47.89,B,0.00
Q4,29.07,-15.49,B,0.00
Q4,29.07,-26.29,B,0.00
Q4,29.07,-37.09,B,0.00
Q5,30.44,-54.13,B,270.00
Q5,30.44,-21.73,B,270.00
Q5,30.44,-43.33,B,270.00
Q5,30.44,-32.53,B,270.00
Q6,29.14,-54.13,B,270.00
Q6,29.14,-21.73,B,270.00
Q6,29.14,-32.53,B,270.00
Q6,29.14,-43.33,B,270.00
Q7,31.74,-21.73,B,270.00
Q7,31.74,-32.53,B,270.00
Q7,31.74,-43.33,B,270.00
Q7,31.74,-54.13,B,270.00
Q8,33.04,-32.53,B,270.00
Q8,33.04,-43.33,B,270.00
Q8,33.04,-54.13,B,270.00
Q8,33.04,-21.73,B,270.00
R1,43.50,-28.02,B,270.00
R1,43.50,-17.22,B,270.00
R1,43.50,-38.82,B,270.00
R1,43.50,-49.62,B,270.00
R2,44.23,-49.62,B,270.00
R2,44.23,-38.82,B,270.00
R2,44.23,-28.02,B,270.00
R2,44.23,-17.22,B,270.00
R3,41.98,-17.22,B,270.00
R3,41.98,-49.62,B,270.00
R3,41.98,-28.02,B,270.00
R3,41.98,-38.82,B,270.00
R4,42.70,-28.02,B,270.00
R4,42.70,-38.82,B,270.00
R4,42.70,-49.62,B,270.00
R4,42.70,-17.22,B,270.00
R5,42.49,-50.67,B,0.00
R5,42.49,-18.27,B,0.00
R5,42.49,-39.87,B,0.00
R5,42.49,-29.07,B,0.00
R6,41.01,-16.53,B,270.00
R6,41.01,-27.33,B,270.00
R6,41.01,-38.13,B,270.00
R6,41.01,-48.93,B,270.00
R7,32.66,-14.82,B,0.00
R7,32.66,-25.62,B,0.00
R7,32.66,-36.42,B,0.00
R7,32.66,-47.22,B,0.00
R8,33.71,-15.16,B,270.00
R8,33.71,-47.56,B,270.00
R8,33.71,-36.76,B,270.00
R8,33.71,-25.96,B,270.00
R9,28.94,-16.35,T,0.00
R9,28.94,-27.15,T,0.00
R9,28.94,-48.75,T,0.00
R9,28.94,-37.95,T,0.00
R10,28.94,-17.05,T,0.00
R10,28.94,-27.85,T,0.00
R10,28.94,-38.65,T,0.00
R10,28.94,-49.45,T,0.00
R11,28.15,-29.08,T,0.00
R11,28.15,-39.88,T,0.00
R11,28.15,-50.68,T,0.00
R11,28.15,-18.28,T,0.00
R12,31.26,-36.64,B,180.00
R12,31.26,-47.44,B,180.00
R12,31.26,-15.04,B,180.00
R12,31.26,-25.84,B,180.00
R13,26.91,-21.69,T,0.00
R13,26.91,-43.29,T,0.00
R13,26.91,-54.09,T,0.00
R13,26.91,-32.49,T,0.00
R14,33.17,-15.16,T,90.00
R14,33.17,-47.56,T,90.00
R14,33.17,-25.96,T,90.00
R14,33.17,-36.76,T,90.00
R15,41.01,-15.16,B,90.00
R15,41.01,-36.76,B,90.00
R15,41.01,-25.96,B,90.00
R15,41.01,-47.56,B,90.00
R16,30.22,-18.96,B,90.00
R16,30.22,-29.76,B,90.00
R16,30.22,-40.56,B,90.00
R16,30.22,-51.36,B,90.00
R17,31.27,-51.71,B,0.00
R17,31.27,-30.11,B,0.00
R17,31.27,-40.91,B,0.00
R17,31.27,-19.31,B,0.00
R18,30.24,-28.36,B,270.00
R18,30.24,-49.96,B,270.00
R18,30.24,-39.16,B,270.00
R18,30.24,-17.56,B,270.00
R19,30.24,-48.56,B,270.00
R19,30.24,-26.96,B,270.00
R19,30.24,-37.76,B,270.00
R19,30.24,-16.16,B,270.00
SW1,26.43,-40.65,T,90.00
SW1,26.43,-19.05,T,90.00
SW1,26.43,-29.85,T,90.00
SW1,26.43,-51.45,T,90.00
U1,43.55,-15.47,B,270.00
U1,43.55,-26.27,B,270.00
