Designator,Mid X,Mid Y,Layer,Rotation
C1,43.60,-16.00,T,270.00
C2,37.94,-13.82,T,90.00
C3,40.10,-7.50,T,0.00
D1,13.65,-21.27,T,90.00
D2,15.43,-21.27,T,90.00
D3,17.21,-21.27,T,90.00
D4,18.99,-21.27,T,90.00
D5,20.78,-21.27,T,90.00
D6,22.56,-21.27,T,90.00
D7,24.34,-21.27,T,90.00
D8,26.12,-21.27,T,90.00
D9,27.90,-21.27,T,90.00
D10,29.68,-21.27,T,90.00
D11,31.46,-21.27,T,90.00
D12,33.24,-21.27,T,90.00
D13,8.70,-19.60,T,90.00
D14,35.03,-21.27,T,90.00
J4,16.10,-10.00,T,270.00
L1,41.10,-10.70,T,0.00
P1,4.89,-10.70,T,270.00
Q1,14.20,-3.30,T,270.00
Q2,17.60,-3.30,T,270.00
Q3,21.00,-3.30,T,270.00
Q4,24.40,-3.30,T,270.00
Q5,27.80,-3.30,T,270.00
R1,10.00,-8.80,T,90.00
R2,10.00,-12.80,T,90.00
R3,40.10,-17.70,T,0.00
R4,40.10,-19.20,T,0.00
R5,38.60,-21.60,T,90.00
RN1,11.65,-21.32,T,90.00
RN2,25.70,-16.59,T,0.00
RN3,37.05,-21.32,T,270.00
U1,40.50,-15.00,T,270.00
